Author,Title,Year,Type of publication,Type of publication venue,Study design,Methodology,Learning_context,Region,Age,L1,L2,Educational_level,L2_proficiency,L2_proficiency_justification,L2_learning_experience,Sampling,VR_setting,HMD_type,VR_content_type,VR_software,VR_learning_activities,VR_treatment_length_total_min,Number_of_VR_sessions,Length_of_each_VR_session_min,VR_treatment_provider,Control_treatment,Linguistic_outcome,Socio-emotional outcome,VR_Mean_Pre,VR_SD_Pre,VR_Mean_Post,VR_SD_Post,VR_N,C_Mean_Pre,C_SD_Pre,C_Mean_Post,C_SD_Post,C_N,Hedge's_ g (combined),Variance,ES_reported,ES_type,ES_value
Papin & Kaplan-Rakowski,A study of vocabulary learning using annotated 360° pictures,2024,Journal,Computer Assisted Language Learning,Between-group,Quantitative,Second language,Canada,19.7,"Chinese, English, Others",French,University,Not reported,Other,At least 1 year,Not reported,Classroom,Smartphone-based,360° images and computer-generated ,Not reported,Self-directed,6,1,6,Not reported,Multimedia,Vocabulary,Engagement,NA,NA,4.09,0.79,23,NA,NA,3.53,0.94,17,,,0,NA,NA
Wang et al. (2021),"Technological Solutions for Sustainable Development: Effects of a Visual Prompt Scaffolding-Based Virtual Reality Approach on EFL Learners’ Reading Comprehension, Learning Attitude, Motivation, and Anxiety",2021,Journal,Sustainability,Between-group,Mixed,Foreign language,China,19,Not reported,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,Standalone,Computer-generated,Not reported,Teacher-centered,Not reported,Not reported,20,Teacher,Multimedia,Reading,Motivation,NA,NA,25.48,3.345,31,NA,NA,22.71,3.121,35,,,0,NA,NA
Wang et al. (2021),"Technological Solutions for Sustainable Development: Effects of a Visual Prompt Scaffolding-Based Virtual Reality Approach on EFL Learners’ Reading Comprehension, Learning Attitude, Motivation, and Anxiety",2021,Journal,Sustainability,Between-group,Mixed,Foreign language,China,19,Not reported,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,Standalone,Computer-generated,Not reported,Teacher-centered,Not reported,Not reported,20,Teacher,Multimedia,Reading,Anxiety,NA,NA,98.45,17.767,31,NA,NA,99.34,10.195,35,,,0,NA,NA
Wang et al. (2022),An Integrated Automatic Writing Evaluation and SVVR Approach to Improve Students’ EFL Writing Performance,2022,Journal,Sustainability,Between-group,Mixed,Foreign language,Not reported,20,Not reported,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,360° videos and computer-generated ,Custom-made VR,Self-directed,Not reported,Not reported,Not reported,Teacher,Multimedia,Writing,Motivation,NA,NA,24.19,3.31,37,NA,NA,22.18,2.9,39,,,1,4,0.06
Wang et al. (2022),An Integrated Automatic Writing Evaluation and SVVR Approach to Improve Students’ EFL Writing Performance,2022,Journal,Sustainability,Between-group,Mixed,Foreign language,Not reported,20,Not reported,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,360° videos and computer-generated ,Custom-made VR,Self-directed,Not reported,Not reported,Not reported,Teacher,Multimedia,Writing,Self-efficacy,NA,NA,55.84,8.53,37,NA,NA,51.13,9.61,39,,,1,4,0.06
Wang et al. (2022),An Integrated Automatic Writing Evaluation and SVVR Approach to Improve Students’ EFL Writing Performance,2022,Journal,Sustainability,Between-group,Mixed,Foreign language,Not reported,20,Not reported,English,University,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,360° videos and computer-generated ,Custom-made VR,Self-directed,Not reported,Not reported,Not reported,Teacher,Multimedia,Writing,Anxiety,NA,NA,26.03,5.42,37,NA,NA,29.28,4.77,39,,,1,4,0.07
Wu & Hung ,"The Effects of Virtual Reality Infused Instruction on Elementary School Students’ English-Speaking Performance, Willingness to Communicate, and Learning Autonomy",2022,Journal,"Journal of Educational Computing
Research",Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,Elementary school,Beginner,Other,Not reported,Not reported,Classroom,Smartphone-based,Computer-generated,Custom-made VR,Teacher-centered,Not reported,10,Not reported,Researcher,Multimedia,Speaking,Willingness to communicate,3.22,0.52,3.42,0.37,28,2.79,0.34,3.01,0.37,28,,,0,NA,NA
Wu & Hung ,"The Effects of Virtual Reality Infused Instruction on Elementary School Students’ English-Speaking Performance, Willingness to Communicate, and Learning Autonomy",2022,Journal,"Journal of Educational Computing
Research",Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,Elementary school,Beginner,Other,Not reported,Not reported,Classroom,Smartphone-based,Computer-generated,Custom-made VR,Teacher-centered,Not reported,10,Not reported,Researcher,Multimedia,Speaking,Learning autonomy,3.71,0.53,3.13,0.28,28,3.36,0.33,3.24,0.43,28,,,0,NA,NA
Ye & Kaplan-Rakowski,"An exploratory study on practising listening
comprehension skills in high-immersion virtual reality",2024,Journal,British Journal of Educational Technology,Between-group,Quantitative,Foreign language,USA,17,Not reported,Chinese,High school,Not reported,Institutional level,At least 3 years,Random,Classroom,Standalone,Computer-generated,VR adapted for LL,Self-directed,17.5,1,17.5,Researcher,Multimedia,Listening,Sense of presence,NA,NA,5.39,1.02,23,NA,NA,3.65,1,20,,,1,3,0.39
Ye & Kaplan-Rakowski ,"An exploratory study on practising listening
comprehension skills in high-immersion virtual reality",2024,Journal,British Journal of Educational Technology,Between-group,Quantitative,Foreign language,USA,17,Not reported,Chinese,High school,Not reported,Institutional level,At least 3 years,Random,Classroom,Standalone,Computer-generated,VR adapted for LL,Self-directed,17.5,1,17.5,Researcher,Multimedia,Listening,Enjoyment,NA,NA,6.3,0.8,23,NA,NA,4.47,1.16,20,,,1,3,0.46
